"","Target","PIDGene","InteractionType","Group","InPID"
"507","AKT1","STK4","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"508","LATS2","STK4","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"509","PHLPP1","STK4","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"510","MOB1B","STK4","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"511","AKT3","STK4","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"512","AKT2","STK4","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"513","PPP2CA","STK4","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"514","STK4","STK4","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"515","TNNI3","STK4","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"516","IRF1","TAP1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"517","TP53","TAP1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"518","STAT1","TAP1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"519","IRF2","TAP1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"520","STAT2","TAP2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"521","IRF1","TAP2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"522","ETS1","TFRC","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"523","HIF1A","TFRC","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"524","ATF1","TFRC","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"525","MYC","TFRC","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"526","E2F4","TFRC","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"527","LCK","ZAP70","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"528","MUC1","ZAP70","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"529","ZAP70","ZAP70","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"530","LCP2","ZAP70","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"531","DUSP3","ZAP70","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"532","PTPRG","ZAP70","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"533","GAB2","ZAP70","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"534","LAT","ZAP70","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"535","ZAP70","ZAP70","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"536","MAPK14","ZAP70","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"537","SH2B3","ZAP70","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"538","SHC1","ZAP70","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"539","PTPN22","ZAP70","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"540","DBNL","ZAP70","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"541","PAK1","ARPC1B","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"542","PPM1D","ATM","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"543","PRKDC","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"544","WRN","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"545","NBN","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"546","CREB1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"547","PPM1G","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"548","CHEK2","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"549","KHSRP","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"550","FBXO31","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"551","SP1","ATM","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"552","CHEK1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"553","TERF1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"554","TP53","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"555","ATM","ATM","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"556","STK11","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"557","EP300","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"558","BUB1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"559","SP1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"560","NHEJ1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"561","PPP2CA","ATM","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"562","MRE11","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"563","ZNF148","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"564","ATF2","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"565","RAD9A","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"566","RRM2B","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"567","AURKB","ATM","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"568","SMAD1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"569","SMC3","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"570","HIF1A","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"571","MCM3","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"572","MDM4","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"573","CCDC6","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"574","DBF4","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"575","PNKP","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"576","TAOK1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"577","NFAT5","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"578","IKBKG","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"579","RPA2","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"580","ABL1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"581","PPP2CB","ATM","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"582","TP53BP1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"583","MDM2","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"584","SMC1A","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"585","SIAH1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"586","AR","ATM","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"587","ATM","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"588","DAXX","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"589","TDP1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"590","E2F1","ATM","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"591","BRCA1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"592","COP1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"593","CDK5","ATM","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"594","ATR","ATM","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"595","RBBP8","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"596","RASSF1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"597","RAD50","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"598","TP63","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"599","HNF1A","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"600","E2F1","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"601","XPA","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"602","BLM","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"603","DCLRE1C","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"604","FANCI","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"605","FBXW7","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"606","RAD17","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"607","PPP1R2","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"608","FANCD2","ATM","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"609","ATM","BLM","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"610","CHEK1","BLM","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"611","E2F1","BLM","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"612","ESR1","BLM","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"613","PRKCQ","CARD11","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"614","PPP2CA","CARD11","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"615","PPP2CB","CARD11","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"616","AKT1","CDCA7","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"617","E2F4","CDCA7","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"618","E2F2","CDCA7","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"619","AKT2","CDCA7","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"620","E2F1","CDCA7","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"621","AKT3","CDCA7","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"622","SP2","DNMT3B","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"623","MITF","EPG5","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"624","FOS","EXTL3","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"625","CTCF","EXTL3","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"626","ESR1","FOXN1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"627","TP63","FOXN1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"628","E2F1","GINS1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"629","E2F4","GINS1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"630","E2F1","HELLS","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"631","E2F4","HELLS","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"632","CHUK","IKBKB","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"633","CASP3","IKBKB","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"634","RELA","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"635","PLK1","IKBKB","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"636","PPM1B","IKBKB","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"637","IKBKB","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"638","YWHAB","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"639","CDKN2A","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"640","NFKBIA","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"641","IKBKG","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"642","DOK1","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"643","PRKAA2","IKBKB","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"644","IKBKB","IKBKB","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"645","PPM1A","IKBKB","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"646","PRKCZ","IKBKB","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"647","NFKB1","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"648","TSC1","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"649","SRC","IKBKB","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"650","IRS1","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"651","MAP3K7","IKBKB","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"652","CYLD","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"653","FOXO3","IKBKB","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"654","PPP2CB","IKBKB","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"655","E2F4","IKBKG","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"656","IKBKB","IKBKG","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"657","RELA","IKBKG","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"658","ATM","IKBKG","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"659","STAT1","IL6R","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"660","RUNX1","IL6R","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"661","IL6ST","IL6ST","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"662","STAT1","IL6ST","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"663","JAK2","IL6ST","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"664","STAT3","IL6ST","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"665","IL6ST","IL6ST","PIDGeneIsPTMEffector","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"666","STAT5A","IL6ST","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"667","PRKCD","IL6ST","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"668","STAT5B","IL6ST","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"669","E2F4","KDM6A","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"670","GATA2","KDM6A","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"671","FOXA1","KDM6A","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"672","CDKN1B","KMT2A","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"673","MEIS1","KMT2A","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"674","ATR","KMT2A","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"675","CDKN2C","KMT2A","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"676","HOXA9","KMT2A","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"677","ETS1","KMT2A","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"678","HOXA7","KMT2A","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"679","CDK2","LIG1","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"680","TP53","LIG1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"681","E2F4","LIG1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"682","EGR1","LIG1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"683","CSNK2A1","LIG1","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"684","E2F1","LIG1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"685","CDK1","LIG1","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"686","MYCN","MCM4","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"687","CDK1","MCM4","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"688","CDK2","MCM4","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"689","E2F4","MCM4","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"690","E2F4","MTHFD1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"691","MYC","MTHFD1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"692","ATM","NBS1","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",FALSE
"693","ATR","NBS1","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",FALSE
"694","CTCF","NBS1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",FALSE
"695","CTCF","NFE2L2","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"696","GSTA1","NFE2L2","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"697","TGIF1","NFE2L2","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"698","NQO1","NFE2L2","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"699","TXN","NFE2L2","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"700","PRKCA","NFE2L2","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"701","E2F1","NFE2L2","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"702","PRKCD","NFE2L2","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"703","MTHFR","NFE2L2","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"704","EGR1","NFE2L2","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"705","SQSTM1","NFE2L2","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"706","STAT1","NFE2L2","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"707","NQO2","NFE2L2","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"708","GCLC","NFE2L2","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"709","TXNRD1","NFE2L2","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"710","ABCC1","NFE2L2","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"711","HMOX1","NFE2L2","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"712","PRKCB","NFE2L2","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"713","VDR","NFKBIA","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"714","NFKB1","NFKBIA","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"715","ICAM1","NFKBIA","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"716","IL1B","NFKBIA","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"717","LCK","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"718","IKBKE","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"719","RELA","NFKBIA","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"720","PON2","NFKBIA","PIDGeneIsTF","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"721","RELA","NFKBIA","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"722","NFKB1","NFKBIA","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"723","SRC","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"724","CSNK2A1","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"725","PPARA","NFKBIA","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"726","PTPN13","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"727","CHUK","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"728","REL","NFKBIA","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"729","TBK1","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"730","EIF2AK2","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"731","PTPN1","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"732","IKBKB","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"733","RPS6KA2","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"734","FBXW11","NFKBIA","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"735","PRKCB","ORAI1","PIDGeneIsPTMSubstrate","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"736","TP53","PMS2","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"737","STAT1","POLA1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"738","E2F1","POLA1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",TRUE
"739","ZNF263","POLE1","PIDGeneIsTranscribed","Table 2 Combined immunodeficiencies with associated or syndromic features",FALSE
